Sample,X,Y,Z
370,0.188,-0.016,0.945
371,-0.184,-0.066,0.922
372,0.176,-0.102,1.031
373,-0.059,-0.121,0.930
374,-0.004,0.082,0.973
375,0.141,-0.098,0.977
376,-0.109,-0.043,0.953
377,0.164,-0.164,1.000
378,0.008,0.004,0.930
379,0.043,0.023,0.980
380,0.129,-0.145,0.926
381,-0.094,-0.047,0.945
382,0.039,-0.117,1.016
383,0.094,-0.004,0.961
384,-0.102,-0.066,0.953
385,0.191,-0.031,1.008
386,-0.062,-0.105,0.945
387,0.043,-0.121,0.961
388,0.133,-0.090,0.930
389,-0.164,0.074,0.945
390,0.141,-0.086,0.953
391,-0.051,-0.016,0.984
392,0.094,-0.098,0.996
393,0.074,-0.086,0.910
394,0.023,-0.074,1.078
395,0.035,-0.070,0.828
396,0.035,0.016,0.969
397,-0.090,-0.168,1.008
398,0.098,0.012,0.941
399,-0.043,-0.059,0.961
400,0.141,-0.027,0.988
401,0.000,-0.098,0.973
402,0.117,-0.062,1.043
403,0.043,-0.129,0.836
404,0.004,0.109,0.949
405,0.082,-0.195,1.074
406,-0.023,0.039,0.910
407,0.047,-0.148,0.992
408,0.020,-0.008,0.957
409,-0.012,0.012,0.988
410,0.086,-0.168,0.992
411,-0.004,-0.031,0.973
412,0.090,0.043,0.957
413,0.031,-0.098,0.922
414,0.039,-0.109,0.980
415,0.008,-0.105,0.945
416,-0.004,-0.023,0.941
417,0.066,0.016,0.945
418,0.066,-0.070,0.992
419,0.023,-0.074,0.973
420,0.043,-0.137,0.957
421,0.008,-0.020,0.934
422,0.117,-0.012,0.953
423,0.016,-0.066,0.980
424,-0.016,-0.023,0.938
425,0.082,-0.055,0.969
426,-0.062,-0.098,1.035
427,0.086,-0.016,0.922
428,0.020,-0.078,0.910
429,0.051,-0.027,1.012
430,0.004,-0.199,0.949
431,0.066,0.051,0.988
432,0.090,-0.074,0.961
433,-0.051,-0.094,0.898
434,0.141,-0.086,1.031
435,-0.059,0.012,0.945
436,0.137,-0.031,0.918
437,-0.023,-0.137,1.000
438,0.031,-0.055,1.031
439,0.098,-0.051,0.898
440,-0.020,0.012,0.973
441,0.020,-0.113,0.988
442,-0.020,-0.055,0.973
443,0.086,-0.074,0.926
444,0.059,0.004,0.996
445,0.070,-0.070,0.957
446,-0.039,-0.121,0.961
447,0.113,-0.062,0.945
448,-0.027,-0.043,0.980
449,-0.004,0.004,0.973
450,0.012,-0.059,0.934
451,0.043,-0.043,0.977
452,0.113,-0.117,0.969
453,-0.062,-0.062,0.953
454,0.148,0.020,0.926
455,0.043,-0.062,0.984
